sourceIp,locId,country,region,city,postalCode,latitude,longitude,dmaCode,areaCode,numberOfPorts,numberOfIps,numberOfPackets,averagePacketSize,averageDataSize,maxPacketsPerDestination,maxPacketsPerPort,maxInterpacketInterval
65.232.168.19,3d8165c7,US,"CA","Belmont","94002",37.5081,-122.3010,807,650,8.57142857143e-05,0.00333333333333,7e-05,0.000261714285714,1.573e-06,9.33333333333e-06,3.33333333333e-06,9.80596542358e-05
92.254.180.142,3d8165c7,US,"CA","Belmont","94002",37.5081,-122.3010,807,650,2.85714285714e-05,0.00333333333333,2e-05,8e-05,1.58e-07,2.66666666667e-06,2.66666666667e-06,1.59602165222e-05
18.96.134.76,0d49d56e,US,"CA","Fremont","94538",37.5079,-121.9599,807,510,2.85714285714e-05,0.00333333333333,2.5e-05,9.48571428571e-05,2.045e-07,3.33333333333e-06,3.33333333333e-06,6.42004013062e-05
230.53.242.198,94805b2c,US,"CA","Mountain View","94043",37.4192,-122.0574,807,650,2.85714285714e-05,0.00333333333333,5e-06,6.68571428571e-05,5.85e-08,6.66666666667e-07,6.66666666667e-07,2.37197875977e-05
50.153.57.239,61126358,US,"VA","Sterling","20166",38.9881,-77.4755,511,703,2.85714285714e-05,0.00333333333333,5e-06,7.48571428571e-05,6.55e-08,6.66666666667e-07,6.66666666667e-07,6.8998336792e-06
173.7.235.1,7cc2f81e,US,"","","",38.0000,-97.0000,,,0.000114285714286,0.00333333333333,2e-05,0.000190285714286,3.665e-07,2.66666666667e-06,6.66666666667e-07,1.56397819519e-05
117.151.235.206,8ab4884b,US,"WA","Seattle","98121",47.6145,-122.3480,819,206,2.85714285714e-05,0.00333333333333,5e-06,7.31428571429e-05,6.4e-08,6.66666666667e-07,6.66666666667e-07,1.16996765137e-05
31.111.54.134,ef966227,CN,"07","Hunan","",25.9714,119.6486,,,2.85714285714e-05,0.00333333333333,5e-06,2.28571428571e-05,2e-08,6.66666666667e-07,6.66666666667e-07,3.52001190186e-06
229.215.195.66,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,2.85714285714e-05,0.00333333333333,1e-05,3.42857142857e-05,4e-08,1.33333333333e-06,1.33333333333e-06,1.94797515869e-05
171.212.184.40,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,2.85714285714e-05,0.00333333333333,1e-05,3.42857142857e-05,4e-08,1.33333333333e-06,1.33333333333e-06,8.85396003723e-05
31.25.238.98,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,2.85714285714e-05,0.00333333333333,5e-06,0.000130857142857,1.145e-07,6.66666666667e-07,6.66666666667e-07,4.36797142029e-05
235.195.116.226,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,5.71428571429e-05,0.00333333333333,7.5e-05,0.000238285714286,7.71e-07,1e-05,8e-06,0.000179679870605
251.245.138.66,d90c13db,US,"TX","San Antonio","",29.4717,-98.5140,641,210,2.85714285714e-05,0.00666666666667,1.5e-05,8.74285714286e-05,1.21e-07,1.33333333333e-06,2e-06,6.08015060425e-06
43.80.249.26,94805b2c,US,"CA","Mountain View","94043",37.4192,-122.0574,807,650,2.85714285714e-05,0.00333333333333,5e-06,5.48571428571e-05,4.8e-08,6.66666666667e-07,6.66666666667e-07,0.000137439727783
2.230.164.26,94805b2c,US,"CA","Mountain View","94043",37.4192,-122.0574,807,650,5.71428571429e-05,0.00333333333333,1e-05,9.65714285714e-05,1.13e-07,1.33333333333e-06,6.66666666667e-07,6.49600028992e-05
8.157.188.164,94805b2c,US,"CA","Mountain View","94043",37.4192,-122.0574,807,650,2.85714285714e-05,0.00333333333333,5e-06,6.45714285714e-05,5.65e-08,6.66666666667e-07,6.66666666667e-07,2.08802223206e-05
39.160.34.205,94805b2c,US,"CA","Mountain View","94043",37.4192,-122.0574,807,650,2.85714285714e-05,0.00333333333333,5e-06,6.45714285714e-05,5.65e-08,6.66666666667e-07,6.66666666667e-07,5.85198402405e-05
230.15.116.30,94805b2c,US,"CA","Mountain View","94043",37.4192,-122.0574,807,650,2.85714285714e-05,0.00333333333333,4e-05,0.000116571428571,3.98e-07,5.33333333333e-06,5.33333333333e-06,5.84001541138e-05
21.19.174.230,94805b2c,US,"CA","Mountain View","94043",37.4192,-122.0574,807,650,2.85714285714e-05,0.00333333333333,1e-05,7.31428571429e-05,8.3e-08,1.33333333333e-06,1.33333333333e-06,1.57399177551e-05
197.40.134.39,11b90bd3,TH,"40","Bangkok","",13.7500,100.5167,,,2.85714285714e-05,0.00333333333333,5e-06,3.88571428571e-05,3.4e-08,6.66666666667e-07,6.66666666667e-07,0.000131860256195
63.110.227.4,11b90bd3,TH,"40","Bangkok","",13.7500,100.5167,,,2.85714285714e-05,0.00333333333333,1.5e-05,5.02857142857e-05,7.2e-08,2e-06,2e-06,6.14399909973e-05
48.167.198.198,d81c9d7f,US,"CO","Englewood","80112",39.5690,-104.8582,751,303,2.85714285714e-05,0.00666666666667,1.5e-05,7.14285714286e-05,1.065e-07,1.33333333333e-06,2e-06,9.87596511841e-05
